NUMERIC REFERENCE,REFERENCE,CITATION,NUMBER OF OCCURRENCES
30,"Romero Zarco, Pers. Com.",,219
38,"Fernández-Mazuecos et al., 2018","Fernández-Mazuecos, M., Ferrer-Gallego, P.P., Miguel, M., Glover, B. J. & Sáez, L. (2018). A synopsis of the Iberian clade of Linaria subsect. Versicolores (Antirrhineae, Plantaginaceae) based on integrative taxonomy. Plant Systematics and Evolution, 304(7), 871-884. https://doi.org/10.1007/s00606-018-1517-0",148
78,ORCA,"Bolòs, O., Font, X., Pons, X. & Vigo, J. (1985-2010). Atlas corològic de la flora vascular dels Països Catalans. Vols. 1-16. Instituto de Estudios Catalanes, Sección de Ciencias Biológicas, ORCA.",129
5,Atlas de la flora vascular de Burgos,"Alejandre, J.A., López, J.M.G. & Sanz, G.M. (2006). Atlas de la flora vascular de Burgos. Junta de Castilla y León, Burgos.",122
51,Gramina Iberica,"Romero-Zarco, C. (ed.). Gramina Iberica. Genera graminum in opus ""Flora iberica"" intendentes. https://sites.google.com/site/graminaiberica",106
24,"Catalán et al., 2016","Catalán, P., López-Álvarez, D., Bellosta, C. & Villar, L. (2016). Updated taxonomic descriptions, iconography, and habitat preferences of Brachypodium distachyon, B. stacei, and B. hybridum (Poaceae). Anales Del Jardín Botánico de Madrid 73(1), e028. https://doi.org/10.3989/ajbm.2428",80
96,"Sáez et al., 2020","Sáez, L., López-Alvarado, J., Fraga, P., Berjano, R., Ortiz, M. & Romero-Zarco, C. (2020). Two New Species of Aira (Poaceae) from the Iberian Peninsula and the Balearic Islands. Systematic Botany 45(1), 75-84. https://doi.org/10.1600/036364420X15801369352324",72
70,"Mateo & Crespo, 2000","Mateo, G. & Crespo, M.B. (2000). Three new Spanish species of Biscutella L. (Brassicaceae) and remarks on B. valentina (L.) Heywood. Botanical Journal of the Linnean Society 132(1), 1-17. https://doi.org/10.1111/j.1095-8339.2000.tb01851.x",57
100,"García Cardo et al., 2020b","García Cardo, O., Martínez Labarga, J.M. & Mateo, G. (2020). Aportaciones a la flora de la provincia de Cuenca, VIII. Flora Montiberica 77, 70-76.",55
14,"Baonza Díaz et al., 2010","Baonza Díaz, J., Caparrós Callejo, R., García Medina, N., Martínez García, F. & Gómez Manzaneque, F. (2010). Flora vascular de los Quintos de Mora (Los Yébenes, Toledo). Ecología 23, 39-58.",54
127,"Romero Zarco, 1990","Romero Zarco, C. (1990). Avena taxa of the group barbata in the Iberian peninsula and the Balearics. Lagascalia 16(2), 243-268.",41
104,"Casimiro-Soriguer Solanas & Cabezudo-Artero, 2019","Casimiro-Soriguer Solanas, F. & Cabezudo-Artero, B. (2019). Dos nuevas subespecies de Linaria amethystea (Vent.) Hoffmanns. & Link (Plantaginaceae) en el sur de la Península Ibérica. Acta Botanica Malacitana 44, 35-42. https://doi.org/10.24310/abm.v44i0.6673",31
155,"Fuentes et al., 2019","Fuentes, J., Gutiérrez, L., Cueto, M. & Segura, J.M. (2019). Novedades corológicas destacables para la flora vascular de Andalucía (sur de España), III. Anales de Biología 41, 39-47. http://dx.doi.org/10.6018/analesbio.41.06",28
153,"Fuentes et al., 2020","Fuentes, J., Sánchez, R., Segura, J.M., Cueto, M., Ramírez, J. & Gutiérrez, L. (2020). Novedades corológicas destacables para la flora vascular de Andalucía, (sur de España) IV. Anales de Biología 42, 63-73. https://doi.org/10.6018/analesbio.42.08",23
32,"de la Fuente et al., 2015","de La Fuente, V., Rufo, L., Rodríguez, N., Sánchez-Mata, D., Franco, A. & Amils, R. (2015). A study of Sarcocornia AJ Scott (Chenopodiaceae) from Western Mediterranean Europe. Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology, 150(2), 343-356. https://doi.org/10.1080/11263504.2015.1022239",21
73,"Molina et al., 2008","Molina, A., Acedo, C. & Llamas, F. (2008). Taxonomy and new taxa in Eurasian Carex (section Phaestoglochin, Cyperaceae). Systematic Botany 33(2), 237-250. https://doi.org/10.1600/036364408784571563",21
85,"Mateo, 2020 ","Mateo, G. (2020). De flora valentina, XX. Flora Montiberica 77, 98-103.",19
103,"Shiposha et al., 2016","Shiposha, V., Catalán, P., Olonova, M. & Marques, I. (2016). Genetic structure and diversity of the selfing model grass Brachypodium stacei (Poaceae) in Western Mediterranean: out of the Iberian Peninsula and into the islands. PeerJ 4, e2407. https://doi.org/10.7717/peerj.2407",16
97,"Martínez-Sagarra & Devesa, 2019","Martínez-Sagarra, G. & Devesa, J.A. (2019). Two new taxa of Festuca (Poaceae) from the southeastern Iberian Peninsula. Phytotaxa 395(4), 251-264. https://doi.org/10.11646/phytotaxa.395.4.1",14
93,"Rivero-Guerra, 2011","Rivero-Guerra, A.O. (2011). Morphological variation within and between taxa of the Santolina rosmarinifolia L. (Asteraceae: Anthemideae) aggregate. Systematic Botany 36(1), 171-190. https://doi.org/10.1600/036364411X553261",14
154,"Lázaro-Bello, 2020","Lázaro-Bello, J. A. (2020). Novedades agrostológicas en la provincia de Valladolid (España). Anales de Biología 42,  31-35. http://dx.doi.org/10.6018/analesbio.42.04",13
94,"Rubido-Bará et al., 2010","Rubido-Bará, M., Horjales, M. & Villaverde, C. (2010). Dos nuevas subespecies del género Jasione L.(Campanulaceae) en el Noroeste de la Península Ibérica. Nova Acta Científica Compostelana. Bioloxia 19, 21-31.",12
152,"Sanchéz-Gómez et al., 2019 ","Sánchez-Gómez, P., Cánovas, J.L., Jiménez, J.F., Catalán, A. & López-Donate, J.A. (2019). Novedades florísticas para las provincias de Albacete, Almería y Granada (España). Anales de Biología 41, 73-76. http://dx.doi.org/10.6018/analesbio.41.10",12
156,"García Cardo et al., 2020a","García Cardo, O., Domingo, L.M. & Lomas, L.M.F. (2020). Sobre la presencia de Filago hispanica (Degen & Hervier ex Pau) Chrtek & Holub en el Sistema Ibérico meridional. Flora Montiberica 77, 37-42.",10
157,Ruiz de Gopegui & García 2020,"Ruiz de Gopegui Valero, J.A. & Cayón, L.G. (2020). Adicciones y apuntes al catálogo de orquídeas de la provincia de Palencia. Flora Montiberica 77, 52-57.",10
41,"Aseginolaza Iparragirre et al., 1984","Aseginolaza Iparragirre, C., Gómez García, D., Lizaur Sukia, X., Montserrat Martí, G., Morante Serrano, G., Salaverria Monfort, M.R. & Alejandre Sáenz, J.A. (1984). Catálogo Florístico de Álava, Vizcaya y Guipúzcoa. Gobierno Vasco, Vitoria-Gasteiz.",9
29,"Crespo Villalba & Mateo Sanz, 2010a","Crespo Villalba, M.B. & Mateo Sanz, G. (2010). Novedades taxonómicas y nomenclaturales para la flora valenciana, II. Flora Montiberica 45, 89-102.",9
8,"Aymerich et al., 2012","Aymerich, P., Kaplan, Z., Guardiola, M., Petit, A. & Schwarzer, U. (2012). Potamogeton schweinfurthii in the Iberian Peninsula. Anales del Jardín Botánico de Madrid 69(2), 187-192. http://dx.doi: 10.3989/ajbm. 2297",8
9,"Barea-Azcón et al., 2014","Barea-Azcón, J.M., Benito, B.M., Olivares, F.J., Ruiz, H., Martín, J., García, A.L. & López, R. (2014). Distribution and conservation of the relict interaction between the butterfly Agriades zullichi and its larval foodplant (Androsace vitaliana nevadensis). Biodiversity and Conservation 23(4), 927-944. https://doi.org/10.1007/s10531-014-0643-4",8
18,"Blanca et al., 2015","Blanca, G., Cueto, M. & Fuentes, J. (2015). Sisymbrium isatidifolium (Brassicaceae): a new species from southern Spain, and the identity of S. hispanicum Jacq. Phytotaxa 220(1), 043-053. http://dx.doi.org/10.11646/phytotaxa.220.1.",8
122,"Martín-Bravo & Jiménez-Mejías, 2009","Martín-Bravo, S. & Jiménez-Mejías, P. (2009). Molecular data helps traditional taxonomy: Re-evaluation of Reseda collina (Resedaceae), and a new record for Europe. Folia Geobotanica 44(4), 399. https://doi.org/10.1007/s12224-009-9052-y",8
90,"Pyke et al., 2016","Pyke, S., Sáez, L., Molero, J. & Garnatje, T. (2016). Festuca dertosensis (Poaceae), an overlooked fescue from the NE Iberian Peninsula. Willdenowia 46(3), 367-377. https://doi.org/10.3372/wi.46.46305",8
91,"Quintanar et al., 2007","Quintanar, A., Castroviejo, S. & Romero García, A.T. (2007). Apuntes taxonómicos sobre el género Koeleria Pers. (Gramineae) en Andalucía oriental. Acta Botanica Malacitana 32, 289-298.",7
126,"Martín Marcos et al., 2001","Martín Marcos, M.A., Sánchez Rodríguez, J.A. & Elías Rivas, M.J. (2001). Labiadas de la provincia de Salamanca. Studia Botanica 20, 13-41.",6
79,"Ortiz & Rodríguez-Oubiña, 2005","Ortiz, S. & Rodríguez-Oubiña, J. (2005). Caracterización taxonómica das poboacións galegas de Alyssum loiseleurii P. Fourn. (Brassicaceae). Nova acta científica compostelana. Bioloxía 14, 51-56.",6
58,"Lázaro et al., 2016","Lázaro, A.B., Domínguez, R.D. & Ureña Plaza, J. (2016). Novedades en Narcissus L.(Amaryllidaceae). Flora Montiberica 63, 103-111.",5
67,"Maguilla et al., 2017","Maguilla, E., Escudero, M., Hipp, A.L. & Luceño, M. (2017). Allopatric speciation despite historical gene flow: Divergence and hybridization in Carex furva and C. lucennoiberica (Cyperaceae) inferred from plastid and nuclear RAD?seq data. Molecular Ecology 26(20), 5646-5662. https://doi.org/10.1111/mec.14253",5
69,"Martínez-Sagarra, 2019","Martínez-Sagarra, G. (2019). Festuca devesae (Poaceae), a new species from northern Spain. Phytotaxa 424(2), 97-105. https://doi.org/10.11646/phytotaxa.424.2.3",5
145,"Molina et al., 2017","Molina, C., Montamarta, G. & Eugenio, M. (2017). Adiciones al Catálogo Florístico de Soria, V: nuevas aportaciones a la familia Orobanchaceae. Flora Montiberica 68, 18-26.",5
148,"Sanchez-Gomez et al., 2018","Sánchez-Gómez, P., López García, D., Cánovas, J. L., Jiménez, J. F., Vera, J.B. & Martínez López, P. (2018). Novedades florísticas para las provincias de Murcia, Albacete y Almería (España). Anales de Biología 40, 73-85. http://dx.doi.org/10.6018/analesbio.40.09",5
106,"Talavera et al., 2015a","Talavera, S., Talavera, M. & Sánchez, C. (2015). Los géneros Thrincia Roth y Leontodon L. (Compositae, Cichorieae) en Flora Iberica. Acta Botanica Malacitana 40, 344-364. https://doi.org/10.24310/abm.v40i0.2559",5
150,"Acedo, Pers. Com.", ,5
31,"de la Fuente et al., 2011","de la Fuente, V., Nieto, L.R. & Sánchez-Mata, D. (2011). Sarcocornia hispanica (Chenopodiaceae), a new species from the Iberian Peninsula. Lazaroa 32, 9. https://doi.org/10.5209/rev_LAZA.2011.v32.37817",4
130,"Fraga-Arguimbau et al., 2019","Fraga-Arguimbau, P., Mascaró-Sintes, C., Pallicer-Allès, X. & Carreras-Martí, D. (2019). Notes i contribucions al coneixement de la flora de Menorca (XIII). Notes florístiques. Bolletí de la Societat d'Història Natural de les Balears 61, 183-198.",4
49,"Gómez Navarro et al., 2015","Gómez Navarro, J., Roselló Gimeno, R., Laguna Lumbreras, E., Ferrer Gallego, P.P., Peris Gisbert, J.B., Guillén Bas, A., Valdés Franzi, A. & Sanchis Duato, E. (2015). Trinia castroviejoi (Umbelliferae), especie nueva descrita para el sudeste de la Península Ibérica. Sabuco: revista de estudios albacetenses 11, 11-38.",4
81,"Peñas et al., 2008","Peñas, J., Benito, B., Lorite, J., Morales, M.C. & Martínez-Ortega, M.M. (2008). Astragalus peregrinus subsp. warionis and A. gutattus (Fabaceae): New for the Iberian Peninsula. Phyton 48(1), 155-167.",4
59,"Sáez et al., 2017","Sáez, L., Rosselló, J.A. & Fraga, P. (2017). Llibre vermell de la flora vascular de les Illes Balears. Segona edició. Conselleria de Medi Ambient, Agricultura i Pesca, Palma de Mallorca.",4
42,"Senar Lluch et al., 2020","Senar Lluch, R., Cardero Aguilera, S., Gumbau Vizcarro, P., Martínez Entonado, R. & Mesa Romeu, D. (2020). Aportaciones a la flora castellonense, XI. Flora Montiberica 77, 84-85.",4
46,"Vázquez Pardo, 2013","Vázquez Pardo, F.M. (2013). Anotaciones a la diversidad de Narcissus bulbocodium L., (Amaryllidaceae) en Extremadura (España). Folia Botanica Extremadurensis 7, 13-21.",4
87,"Jiménez-Mejías, Pers. Com.", ,4
132,"Baonza & Martínez, 2013","Baonza, J. & Martínez, F. (2013). Notas florísticas de la sierra de Guadarrama (Madrid, Segovia). Ecología 25, 137-174.",3
34,"Dorda & Fernández Casas, 1989","Dorda, E. & Fernández Casas, J. (1989). Estudios morfológicos en el género Narcissus L. Anatomía de hoja escapo III. Fontqueria 27, 103-162.",3
63,"López Vélez, 1991","López Vélez, G. (1991). Sarcocapnos baetica (Boiss. & Reuter) Nyman subsp. ardalii G. López Vélez, subespecie nueva para la Península Ibérica. Acta Botanica Malacitana 16(2), 437-447.",3
64,"Luceño et al., 2019","Luceño, M., Fernández-Mazuecos, M. & Vargas, P. (2019). A new species of Linaria sect. Supinae from Sierra de Gredos (Sistema Central mountains, Iberian Peninsula). Acta Botanica Malacitana 44, 43-49. https://doi.org/10.24310/abm.v44i0.6679",3
137,"Mateo Sanz & Arán Redó, 2000","Mateo Sanz, G. & Arán Redó, V.J. (2000). Nuevos datos sobre la flora de la provincia de Cuenca, XII. Flora Montiberica 16, 10-18.",3
131,"Mayoral García-Berlanga & Gómez Serrano, 2006","Mayoral García-Berlanga, O. & Gómez Serrano, M.A. (2006). Distribución y ecología de Rubus saxatilis L. (Rosaceae) en el Sistema Ibérico. Flora Montiberica 33, 32-36.",3
105,"Talavera Solís et al., 2013","Talavera Solís, M., Sánchez Casimiro-Soriguer, C. & Talavera Lozano, S. (2013). Crepis sect. Lepidoseris sensu Babcock en la Península Ibérica y Baleares. Acta Botanica Malacitana 38, 231-240.",3
111,"Vázquez, 2006","Vázquez, F.M. (2006). Anotaciones a la tribu Stipeae (Gramineae) para Andalucía oriental (España). Acta Botanica Malacitana 31, 73-80.",3
149,"Alonso et al., 2013","Alonso, M.Á., Agulló, J.C., Villar, J.L., Juan, A. & Crespo, M.B. (2013). Taxonomic relationships in the Hypericum ericoides aggregate (H. sect. Coridium, Hypericaceae). Annales Botanici Fennici 50(3), 195-207. https://doi.org/10.5735/085.050.0312",2
7,"Aymerich & Sáez, 2015","Aymerich, P. & Sáez, L. (2015). Alchemilla cadinensis (Rosaceae), a new species from the Pyrenees (SW Europe). Willdenowia 45(3), 435-442. https://doi.org/10.3372/wi.45.45310",2
22,"Cabezudo et al., 2015","Cabezudo, B., Solanas, F.C.S. & Pérez-Latorre, A.V. (2015). Sobre el género Armeria en la provincia de Málaga (Andalucía, España). Acta Botanica Malacitana 40, 57-70. https://doi.org/10.24310/abm.v40i0.2493",2
147,"Carlón et al., 2008","Carlón, L., Gómez Casares, G., Laínz, M., Moreno Moral, G., Sánchez Pedraja, Ó. & Schneeweiss, G.M. (2008). Más, a propósito de algunas Phelipanche Pomel, Boulardia F. W. Schultz y Orobanche L. (Orobanchaceae) del oeste del Paleártico. Documentos del Jardín Botánico Atlántico (Gijón) 6, 1-128.",2
33,"Castroviejo et al., 2007, 2019","Castroviejo, S. (coord. gen.). 2007, 2019. Flora iberica vols 15, 16. Real Jardín Botánico, CSIC, Madrid.",2
143,"Cires et al., 2020","Cires, E., Pinto-Cruz, C., Nava, H.S. & Fernández Prieto, J.A. (2020). A new species from the temporary ponds of southwest Portugal: Helosciadium milfontinum. Phytotaxa 456(1), 49-62. https://doi.org/10.11646/phytotaxa.456.1.3",2
134,"Cirujano, 1982","Cirujano, S. (1982). Aportaciones a la flora de los saladares castellanos. Anales del Jardín Botánico de Madrid 39(1), 167-173.",2
133,"Fernández Prieto et al., 2020","Fernández Prieto, J.A., Arjona Rodríguez, J.M., Sanna, M. & Cires, E. (2020): Phylogeographical patterns of Campanula gr. arvatica, an endemic group of the Cantabrian mountains (NW Iberian Peninsula), based on plastid and nuclear DNA polymorphisms. Systematics and Biodiversity 18(5), 434-446. https://doi.org/10.1080/14772000.2020.1783715",2
47,"Fraga-Arguimbau et al., 2018","Fraga-Arguimbau, P., Mascaró-Sintes, C., Allés, X.P. & Carreras-Martí, D. (2018). Notas y contribuciones al conocimiento de la flora de Menorca (XIII). Notas florísticas. Boletín de la Sociedad de Historia Natural de Baleares 61, 183-198.",2
151,"Galán de Mera et al., 2014","Galán-de-Mera, A., Martínez-Fresneda, M., Linares-Perea, E. & Vicente-Orellana, J.A. (2014). Taxonomic notes on Gaudinia (Poaceae) based upon morphological characters and the first record of G. maroccana for Portugal. Plant Biosystems-An International Journal Dealing with all Aspects of Plant Biology 148(5), 1056-1063. https://doi.org/10.1080/11263504.2013.809815",2
52,"González Granados, 2011","González Granados, J. (2011). Descripción de una nueva subespecie de Sedum aetnense (Crassulaceae) del centro de España. Boletín de la Real Sociedad Española de Historia Natural 105 (1-4), 49-65.",2
72,"Molero et al., 1998","Molero, J., Sáez, L. & Villar Pérez, L. (1998). Interés florístico y geobotánico de la Sierra de Alcubierre (Monegros, Aragón). Acta Botánica Barcinonensia 45, 363-390.",2
88,"Polatschek, 2014","Polatschek, A. (2014). Revision der gattung Erysimum (Cruciferae): Nachträge zu den bearbeitungen der Iberischen Halbinsel und Makaronesiens. Annalen des Naturhistorischen Museums in Wien. Serie B für Botanik und Zoologie 116, 87-105.",2
115,"Romero-Zarco & Sáez, 2018","Romero-Zarco, C. & Sáez, L. (2018). Notas taxonómicas sobre el género Avellinia Parl. (Poaceae: Poeae: Aveninae). Acta Botanica Malacitana 43, 167-169. http://dx.doi.org/10.24310/abm.v43i0.5341",2
95,"Sáez et al., 2014","Sáez, L., Torres, N., Gil, L., Aymerich, P. & Fraga, P. (2014). Contributions to the knowledge of the flora of the Balearic Islands: Notes on the genus Potamogeton and Stuckenia (Potamogetonaceae). Orsis: organismes i sistemes 28, 81-96. http://doi.org/10.5565/rev/orsis.5",2
107,"Talavera et al., 2015b","Talavera, S., Ortíz, M.Á., Jiménez, F.J., Tremetsberger, K. & Talavera, M. (2015). Los géneros Hypochaeris L. y Achyrophorus Vaill. (Compositae, Cichorieae): nuevos taxones y combinaciones. Acta Botanica Malacitana 40, 332-343. https://doi.org/10.24310/abm.v40i0.2558",2
1,"Galán de Mera, Pers. Com.", ,2
135,"Aragón et al., 1994","Aragón, G., Herrero, A., Izquierdo, J.L. & Martínez, I. (1994). Cartografía Corológica Ibérica. Aportaciones 70-72. Botanica Complutensis 19, 168-183.",1
141,"Arán Redó & Mateo Sanz, 1999","Arán Redó, V.J. & Mateo Sanz, G. (1999). Nuevos datos sobre la flora de la provincia de Cuenca, X. Flora Montiberica 12, 33-39.",1
125,"Benítez-Benítez et al., 2017","Benítez-Benítez, C., Míguez, M., Jiménez-Mejías, P. & Martín-Bravo, S. (2017). Molecular and morphological data resurrect the long neglected Carex laxula (Cyperaceae) and expand its range in the western Mediterranean. Anales del Jardín Botánico de Madrid 74(1), 1-12. http://dx.doi.org/10.3989/ajbm.2438",1
15,"Benito Ayuso, 2016","Benito Ayuso, J. (2016). Eucera (Synhalonia) rufa (Apioidea) polinizador efectivo de Ophrys spectabilis (Orchidaceae). Flora Montiberica 62, 67-73.",1
19,"Blanca et al., 2016","Blanca, G., Cueto, M., Benavente, A. & Fuentes, J. (2016). Rivasmartinezia cazorlana sp. nov. (Apiaceae) from southern Spain. Nordic Journal of Botany 34(5), 517-521. http://dx.doi.org/10.1111/njb.01191",1
20,"Blanca et al., 2017","Blanca, G., Cueto, M., Fuentes, J. & Tello, S. (2017). Armeria villosa subsp. enritrianoi subsp. nov.(Plumbaginaceae) en el sureste de España (provincia de Jaén). Acta Botanica Malacitana 42(2), 287-291. https://doi.org/10.24310/abm.v42i2.2882",1
21,"Bou & Bou i Tomàs, 2018","Bou, J. & Bou i Tomàs, J. (2018). Euphorbia duvalii (Euphorbiaceae) in the Iberian Peninsula. Anales del Jardín Botánico de Madrid 75(2), e073. https://doi.org/10.3989/ajbm.2495",1
119,"Cabezudo et al., 2013","Cabezudo, B., Latorre, A.V.P. & Solana, F.C.S. (2013). Vegetación gipsícola del sector antequerano (provincia bética, Andalucía). Acta Botanica Malacitana 38, 193-202. ",1
23,"Carbajal et al., 2017","Carbajal, R., Serrano, M., Ortiz, S. & Sáez, L. (2017). Two new combinations in Iberian Santolina (Compositae) based on morphology and molecular evidences. Phytotaxa 291(3), 217-223. https://doi.org/10.11646/phytotaxa.291.3.6",1
140,"Carlón et al., 2010","Carlón, L., González del Valle, J.M., Laínz, M., Moreno Moral, G., Rodríguez Berdasco J.M. & Sánchez Pedraja, O. (2010). Contribuciones al conocimiento de la flora cantábrica, VIII. Documentos del Jardín Botánico Atlántico (Gijón) 7, 1-95.",1
121,"Carrasco et al., 2005","Carrasco, M.A., García-Camacho, R. & Martín-Blanco, C.J. (2005). Notas de flora hispánica, V. Botanica Complutensis 29, 27-29.",1
77,"Casimiro-Soriguer Solanas & Cabezudo, 2018","Casimiro-Soriguer Solanas, F. & Cabezudo, B. (2018). Aquilegia saxifraga sp. nov.(Ranunculaceae) en la provincia de Málaga (España). Acta Botanica Malacitana 43, 129-136. https://doi.org/10.24310/abm.v43i0.4870",1
80,"Crespo Villalba & Mateo Sanz, 2010b","Crespo Villalba, M. B. & Mateo Sanz, G. (2010). Un nuevo taxon de Armeria (Plumbaginaceae), propio de la Cordillera Ibérica central. Flora Montiberica 46, 49-55.",1
136,"Cueto et al., 1991","Cueto, M., González Rebollar, J.L. & Blanca, G. (1991). Fragmenta chorologica occidentalia. Anales del Jardín Botánico de Madrid 49(1), 121-123.",1
