Taxon,UTM10x10,References
Narcissus ramirezii,30SUF79,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30TTK56,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30SUG75,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30STJ96,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30STF97,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30SUF16,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,30SUJ73,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,29SPD85,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,29SPE90,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Narcissus ramirezii,29SQC59,"Gómez-Murillo, P., Arellano-Martín, I., Sánchez García, A. 2021. Novedades en Narcissus sect. Pseudonarcissi DC. (Amaryllidaceae) en España: N. ramirezii sp. nov. Flora Montiberica 79: 116-119"
Galium pierredmondii,30SVF97,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF96,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF86,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30STF86,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF77,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SVF08,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF48,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF36,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF14,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF24,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF47,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF37,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF03,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF04,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF25,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF24,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF25,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF35,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Galium pierredmondii,30SUF15,"Blanca, G., Cueto, M., Fuentes, J., Ortega-Olivencia, A. 2021. Claiming a Boissierian species of Asperula (Rubiaceae), but under a new name: Galium pierredmondii. Phytotaxa 487 (3): 251-262. DOI: https://doi.org/10.11646/phytotaxa.487.3.5"
Carex camposii tejedensis,30SVF18,"Sánchez-Villegas, R., Escudero, M., Martín-Bravo, S., Salazar-Mendía, C., Algarra, J. A., & Luceño, M. (2023). Carex camposii subsp. tejedensis (Cyperaceae), a new taxon for Southern Iberian Peninsula based on molecular, morphological and ecological differentiation. Mediterranean Botany, 44. https://doi.org/10.5209/mbot.80087+"
Castrila latens,30SWG19,"Blanca, G., Schuler, S. B. M., Blanca, H., Cueto, M., Fuentes, J., Ortega‐Olivencia, A., & Suárez‐Santiago, V. N. (2024). A new plant genus and species from south‐eastern Spain: Castrila latens (Rubieae, Rubiaceae). Taxon, 73(4), 1001-1015. https://doi.org/10.1002/tax.13181"
Castrila latens,30SWG29,"Blanca, G., Schuler, S. B. M., Blanca, H., Cueto, M., Fuentes, J., Ortega‐Olivencia, A., & Suárez‐Santiago, V. N. (2024). A new plant genus and species from south‐eastern Spain: Castrila latens (Rubieae, Rubiaceae). Taxon, 73(4), 1001-1015. https://doi.org/10.1002/tax.13181"
Castrila latens,30SWH01,"Blanca, G., Schuler, S. B. M., Blanca, H., Cueto, M., Fuentes, J., Ortega‐Olivencia, A., & Suárez‐Santiago, V. N. (2024). A new plant genus and species from south‐eastern Spain: Castrila latens (Rubieae, Rubiaceae). Taxon, 73(4), 1001-1015. https://doi.org/10.1002/tax.13181"
Castrila latens,30SWH20,"Blanca, G., Schuler, S. B. M., Blanca, H., Cueto, M., Fuentes, J., Ortega‐Olivencia, A., & Suárez‐Santiago, V. N. (2024). A new plant genus and species from south‐eastern Spain: Castrila latens (Rubieae, Rubiaceae). Taxon, 73(4), 1001-1015. https://doi.org/10.1002/tax.13181"
Euphorbia guadalhorcensis,30SUF46,"Solanas, F. C. S., & Hidalgo-Triana, N. (2023). A new taxon of Euphorbia (Euphorbiaceae) from the southern Iberian Peninsula (Andalusia, Spain). Phytotaxa, 579(1), 1-16. https://doi.org/10.11646/phytotaxa.579.1.1"
Euphorbia guadalhorcensis,30SUF47,"Solanas, F. C. S., & Hidalgo-Triana, N. (2023). A new taxon of Euphorbia (Euphorbiaceae) from the southern Iberian Peninsula (Andalusia, Spain). Phytotaxa, 579(1), 1-16. https://doi.org/10.11646/phytotaxa.579.1.1"
Galatella malacitana,30SUF35,"Blanca, G., Gavira, Ó., & Suárez-Santiago, V. N. (2015). Galatella malacitana (Asteraceae): a new species from the peridotitic mountains of southern Spain. Phytotaxa, 205(4), 239-248."
Genista hirsuta silicicola,30SUF02,"Hidalgo-Triana, N., & Pérez-Latorre, A. V. (2019). A study of functional traits reveals serpentinomorphoses and new taxa in populations of Mediterranean Genista (Fabaceae). Phytotaxa, 394(4), 244-256."
Genista hirsuta silicicola,30SUF03,"Hidalgo-Triana, N., & Pérez-Latorre, A. V. (2019). A study of functional traits reveals serpentinomorphoses and new taxa in populations of Mediterranean Genista (Fabaceae). Phytotaxa, 394(4), 244-256."
Genista hirsuta silicicola,30SUF24,"Hidalgo-Triana, N., & Pérez-Latorre, A. V. (2019). A study of functional traits reveals serpentinomorphoses and new taxa in populations of Mediterranean Genista (Fabaceae). Phytotaxa, 394(4), 244-256."
Genista hirsuta silicicola,30SUF44,"Hidalgo-Triana, N., & Pérez-Latorre, A. V. (2019). A study of functional traits reveals serpentinomorphoses and new taxa in populations of Mediterranean Genista (Fabaceae). Phytotaxa, 394(4), 244-256."
Genista hirsuta silicicola,30SUF55,"Hidalgo-Triana, N., & Pérez-Latorre, A. V. (2019). A study of functional traits reveals serpentinomorphoses and new taxa in populations of Mediterranean Genista (Fabaceae). Phytotaxa, 394(4), 244-256."
Isoetes lacustris,30SVG70,"Carretero, J. M. F. (2022). Isoetes lacustris L.(Isoetaceae), novedad corológica para la flora vascular del Sur de España (Sierra Nevada, Granada). Acta Botanica Malacitana, 47, 73-75."
Linaria amethystea aedoi,30SWJ10,"Jiménez, J. F., López, D., Vera, J. B., Güemes, J., & Sánchez-Gómez, P. (2020). Linaria semialata and L. amethystea subsp. aedoi, two new taxa of L. sect. Supinae (Plantaginaceae) from southeastern Iberian Peninsula. https://doi.org/10.11646/PHYTOTAXA.460.3.1"
